Loaded image features: (908, 768)
Epoch:  98%|█████████▊| 98/100 [21:36<00:25, 13.00s/it]Epoch  98 → QE=27.4004, TE=0.1564
Epoch:  99%|█████████▉| 99/100 [21:49<00:12, 12.94s/it]Epoch  99 → QE=26.8497, TE=0.1960
Epoch: 100%|██████████| 100/100 [22:01<00:00, 13.22s/it]Epoch 100 → QE=27.1149, TE=0.1729

🏆 Best Epoch: 82 (QE=26.4013, TE=0.2170)

>>> TF-IDF SOM Training Start <<<

Epoch  1 → QE=0.7237, TE=0.0580
Epoch  2 → QE=0.7155, TE=0.0460
Epoch  3 → QE=0.7096, TE=0.0500
Epoch  4 → QE=0.7153, TE=0.0420
Epoch  5 → QE=0.7311, TE=0.0580
Epoch  6 → QE=0.7198, TE=0.0360
Epoch  7 → QE=0.7040, TE=0.0620
Epoch  8 → QE=0.7178, TE=0.0540
Epoch  9 → QE=0.7154, TE=0.0480
Epoch 10 → QE=0.7193, TE=0.0200
Epoch 11 → QE=0.7210, TE=0.1040
Epoch 12 → QE=0.7300, TE=0.0500
Epoch 13 → QE=0.7324, TE=0.0580
Epoch 14 → QE=0.7170, TE=0.0480
Epoch 15 → QE=0.7185, TE=0.0860
Epoch 16 → QE=0.7141, TE=0.0180
Epoch 17 → QE=0.7003, TE=0.0380
Epoch 18 → QE=0.7180, TE=0.0300
Epoch 19 → QE=0.7153, TE=0.0600
Epoch 20 → QE=0.7249, TE=0.0200
Epoch 21 → QE=0.7259, TE=0.0460
Epoch 22 → QE=0.7173, TE=0.0400
Epoch 23 → QE=0.7280, TE=0.0400
Epoch 24 → QE=0.7121, TE=0.0380
Epoch 25 → QE=0.7069, TE=0.0420
Epoch 26 → QE=0.7050, TE=0.0440
Epoch 27 → QE=0.7086, TE=0.0260
Epoch 28 → QE=0.7206, TE=0.0320
Epoch 29 → QE=0.7232, TE=0.0800
Epoch 30 → QE=0.7154, TE=0.0620
Epoch 31 → QE=0.7164, TE=0.0600
Epoch 32 → QE=0.7053, TE=0.0280
Epoch 33 → QE=0.7143, TE=0.0300
Epoch 34 → QE=0.7210, TE=0.0360
Epoch 35 → QE=0.7281, TE=0.0320
Epoch 36 → QE=0.7136, TE=0.0300
Epoch 37 → QE=0.7102, TE=0.0320
Epoch 38 → QE=0.7050, TE=0.0760
Epoch 39 → QE=0.7292, TE=0.0660
Epoch 40 → QE=0.7447, TE=0.0280
Epoch 41 → QE=0.7237, TE=0.0580
Epoch 42 → QE=0.7117, TE=0.0400
Epoch 43 → QE=0.7207, TE=0.0380
Epoch 44 → QE=0.7324, TE=0.0380
Epoch 45 → QE=0.7145, TE=0.0440
Epoch 46 → QE=0.7154, TE=0.0500
Epoch 47 → QE=0.7025, TE=0.0540
Epoch 48 → QE=0.7146, TE=0.0220
Epoch 49 → QE=0.7187, TE=0.0360
Epoch 50 → QE=0.7131, TE=0.0600
Epoch 51 → QE=0.7385, TE=0.0860
Epoch 52 → QE=0.7015, TE=0.0720
Epoch 53 → QE=0.7084, TE=0.0460
Epoch 54 → QE=0.7234, TE=0.0100
Epoch 55 → QE=0.7234, TE=0.0360
Epoch 56 → QE=0.7116, TE=0.0380
Epoch 57 → QE=0.7187, TE=0.0240
Epoch 58 → QE=0.7172, TE=0.0400
Epoch 59 → QE=0.7063, TE=0.0680
Epoch 60 → QE=0.6966, TE=0.0800
Epoch 61 → QE=0.7180, TE=0.0420
Epoch 62 → QE=0.7029, TE=0.0760
Epoch 63 → QE=0.7278, TE=0.0280
Epoch 64 → QE=0.7114, TE=0.0380
Epoch 65 → QE=0.7349, TE=0.0600
Epoch 66 → QE=0.7291, TE=0.0180
Epoch 67 → QE=0.7161, TE=0.0340
Epoch 68 → QE=0.7157, TE=0.0780
Epoch 69 → QE=0.7107, TE=0.0580
Epoch 70 → QE=0.7150, TE=0.0600
Epoch 71 → QE=0.7130, TE=0.0380
Epoch 72 → QE=0.7021, TE=0.0560
Epoch 73 → QE=0.7055, TE=0.0680
Epoch 74 → QE=0.7009, TE=0.0440
Epoch 75 → QE=0.7065, TE=0.0500
Epoch 76 → QE=0.7166, TE=0.0380
Epoch 77 → QE=0.7137, TE=0.0520
Epoch 78 → QE=0.7114, TE=0.0580
Epoch 79 → QE=0.7265, TE=0.0540
Epoch 80 → QE=0.7286, TE=0.0380
Epoch 81 → QE=0.7134, TE=0.0360
Epoch 82 → QE=0.7259, TE=0.0620
Epoch 83 → QE=0.7122, TE=0.0480
Epoch 84 → QE=0.7048, TE=0.0500
Epoch 85 → QE=0.7265, TE=0.0280
Epoch 86 → QE=0.7188, TE=0.0540
Epoch 87 → QE=0.7000, TE=0.0440
Epoch 88 → QE=0.7042, TE=0.0200
Epoch 89 → QE=0.7238, TE=0.0180
Epoch 90 → QE=0.7322, TE=0.0340
Epoch 91 → QE=0.7157, TE=0.0320
Epoch 92 → QE=0.7361, TE=0.0380
Epoch 93 → QE=0.7037, TE=0.0480
Epoch 94 → QE=0.7017, TE=0.0500
Epoch 95 → QE=0.7008, TE=0.0900
Epoch 96 → QE=0.7181, TE=0.0680
Epoch 97 → QE=0.7071, TE=0.0920
Epoch 98 → QE=0.7601, TE=0.0880
Epoch 99 → QE=0.7146, TE=0.0760
Epoch 100 → QE=0.7396, TE=0.0360

>>> TF-IDF SOM Training End <<<


>>> Doc2Vec SOM Training Start <<<

Epoch  1 → QE=0.1795, TE=0.2620
Epoch  2 → QE=0.1805, TE=0.2520
Epoch  3 → QE=0.1796, TE=0.2860
Epoch  4 → QE=0.1795, TE=0.2220
Epoch  5 → QE=0.1793, TE=0.2720
Epoch  6 → QE=0.1798, TE=0.2640
Epoch  7 → QE=0.1798, TE=0.2540
Epoch  8 → QE=0.1798, TE=0.2540
Epoch  9 → QE=0.1798, TE=0.3120
Epoch 10 → QE=0.1799, TE=0.2940
Epoch 11 → QE=0.1801, TE=0.2820
Epoch 12 → QE=0.1808, TE=0.2840
Epoch 13 → QE=0.1808, TE=0.2440
Epoch 14 → QE=0.1801, TE=0.2320
Epoch 15 → QE=0.1795, TE=0.2840
Epoch 16 → QE=0.1800, TE=0.2460
Epoch 17 → QE=0.1795, TE=0.3040
Epoch 18 → QE=0.1800, TE=0.2680
Epoch 19 → QE=0.1796, TE=0.3040
Epoch 20 → QE=0.1820, TE=0.2640
Epoch 21 → QE=0.1813, TE=0.2980
Epoch 22 → QE=0.1795, TE=0.2960
Epoch 23 → QE=0.1811, TE=0.2620
Epoch 24 → QE=0.1799, TE=0.2720
Epoch 25 → QE=0.1801, TE=0.2520
Epoch 26 → QE=0.1788, TE=0.2780
Epoch 27 → QE=0.1807, TE=0.2660
Epoch 28 → QE=0.1806, TE=0.2480
Epoch 29 → QE=0.1805, TE=0.2440
Epoch 30 → QE=0.1813, TE=0.2760
Epoch 31 → QE=0.1797, TE=0.3040
Epoch 32 → QE=0.1810, TE=0.2720
Epoch 33 → QE=0.1798, TE=0.2460
Epoch 34 → QE=0.1820, TE=0.2260
Epoch 35 → QE=0.1793, TE=0.2820
Epoch 36 → QE=0.1796, TE=0.2680
Epoch 37 → QE=0.1815, TE=0.2840
Epoch 38 → QE=0.1808, TE=0.2780
Epoch 39 → QE=0.1794, TE=0.2620
Epoch 40 → QE=0.1805, TE=0.2720
Epoch 41 → QE=0.1796, TE=0.2920
Epoch 42 → QE=0.1800, TE=0.2580
Epoch 43 → QE=0.1816, TE=0.2580
Epoch 44 → QE=0.1813, TE=0.2820
Epoch 45 → QE=0.1811, TE=0.2480
Epoch 46 → QE=0.1796, TE=0.2800
Epoch 47 → QE=0.1808, TE=0.2840
Epoch 48 → QE=0.1816, TE=0.2780
Epoch 49 → QE=0.1803, TE=0.2940
Epoch 50 → QE=0.1800, TE=0.2960
Epoch 51 → QE=0.1801, TE=0.3080
Epoch 52 → QE=0.1791, TE=0.2580
Epoch 53 → QE=0.1802, TE=0.2660
Epoch 54 → QE=0.1801, TE=0.3080
Epoch 55 → QE=0.1810, TE=0.2860
Epoch 56 → QE=0.1799, TE=0.2900
Epoch 57 → QE=0.1805, TE=0.2820
Epoch 58 → QE=0.1800, TE=0.2600
Epoch 59 → QE=0.1804, TE=0.2740
Epoch 60 → QE=0.1808, TE=0.2600
Epoch 61 → QE=0.1799, TE=0.3120
Epoch 62 → QE=0.1810, TE=0.2620
Epoch 63 → QE=0.1798, TE=0.2520
Epoch 64 → QE=0.1806, TE=0.2600
Epoch 65 → QE=0.1796, TE=0.2860
Epoch 66 → QE=0.1789, TE=0.2920
Epoch 67 → QE=0.1807, TE=0.2840
Epoch 68 → QE=0.1795, TE=0.3140
Epoch 69 → QE=0.1799, TE=0.3100
Epoch 70 → QE=0.1806, TE=0.2500
Epoch 71 → QE=0.1803, TE=0.2700
Epoch 72 → QE=0.1805, TE=0.3020
Epoch 73 → QE=0.1795, TE=0.2660
Epoch 74 → QE=0.1792, TE=0.2520
Epoch 75 → QE=0.1802, TE=0.2520
Epoch 76 → QE=0.1799, TE=0.2820
Epoch 77 → QE=0.1790, TE=0.2520
Epoch 78 → QE=0.1800, TE=0.2680
Epoch 79 → QE=0.1796, TE=0.3040
Epoch 80 → QE=0.1802, TE=0.2740
Epoch 81 → QE=0.1814, TE=0.2620
Epoch 82 → QE=0.1801, TE=0.2780
Epoch 83 → QE=0.1803, TE=0.2840
Epoch 84 → QE=0.1804, TE=0.2720
Epoch 85 → QE=0.1802, TE=0.2800
Epoch 86 → QE=0.1802, TE=0.2540
Epoch 87 → QE=0.1796, TE=0.2720
Epoch 88 → QE=0.1801, TE=0.2760
Epoch 89 → QE=0.1802, TE=0.2760
Epoch 90 → QE=0.1806, TE=0.2600
Epoch 91 → QE=0.1795, TE=0.2280
Epoch 92 → QE=0.1793, TE=0.3040
Epoch 93 → QE=0.1800, TE=0.2420
Epoch 94 → QE=0.1811, TE=0.2560
Epoch 95 → QE=0.1790, TE=0.2920
Epoch 96 → QE=0.1791, TE=0.3160
Epoch 97 → QE=0.1796, TE=0.2740
Epoch 98 → QE=0.1797, TE=0.2520
Epoch 99 → QE=0.1791, TE=0.2700
Epoch 100 → QE=0.1799, TE=0.2720

>>> Doc2Vec SOM Training End <<<
